Handle,Title,Image Position,Source File,Public Path,Shopify CSV Image Src,Status
2-in-1-bikini-trimmer-for-women-painless-electric-razor-waterproof,"2-in-1 Bikini Trimmer for Women – Painless Electric Razor, Waterproof",1,Grooming/1-9.jpg,/shopify-product-images/2-in-1-bikini-trimmer-for-women-painless-electric-razor-waterproof-01.jpg,https://pakfamilypro.com/shopify-product-images/2-in-1-bikini-trimmer-for-women-painless-electric-razor-waterproof-01.jpg,mapped
electric-shaver-with-triple-blade-system-type-c-fast-charging-and-lcd-display,"Electric Shaver with Triple Blade System, Type-C Fast Charging & LCD Display",1,Grooming/6.jpg,/shopify-product-images/electric-shaver-with-triple-blade-system-type-c-fast-charging-and-lcd-display-01.jpg,https://pakfamilypro.com/shopify-product-images/electric-shaver-with-triple-blade-system-type-c-fast-charging-and-lcd-display-01.jpg,mapped
electric-shaver-with-triple-blade-system-type-c-fast-charging-and-lcd-display,"Electric Shaver with Triple Blade System, Type-C Fast Charging & LCD Display",2,Grooming/71uKTGFHNwL._AC_SL1500_.jpg,/shopify-product-images/electric-shaver-with-triple-blade-system-type-c-fast-charging-and-lcd-display-02.jpg,https://pakfamilypro.com/shopify-product-images/electric-shaver-with-triple-blade-system-type-c-fast-charging-and-lcd-display-02.jpg,mapped-extra-image
facial-hair-trimmer-with-360-floating-blades-led-display-and-type-c-charging,"Facial Hair Trimmer with 360° Floating Blades, LED Display & Type-C Charging",1,Grooming/1-1.jpg,/shopify-product-images/facial-hair-trimmer-with-360-floating-blades-led-display-and-type-c-charging-01.jpg,https://pakfamilypro.com/shopify-product-images/facial-hair-trimmer-with-360-floating-blades-led-display-and-type-c-charging-01.jpg,mapped
facial-hair-trimmer-with-360-floating-blades-led-display-and-type-c-charging,"Facial Hair Trimmer with 360° Floating Blades, LED Display & Type-C Charging",2,Grooming/3.png,/shopify-product-images/facial-hair-trimmer-with-360-floating-blades-led-display-and-type-c-charging-02.png,https://pakfamilypro.com/shopify-product-images/facial-hair-trimmer-with-360-floating-blades-led-display-and-type-c-charging-02.png,mapped-extra-image
folding-handle-hair-dryer-portable-lightweight-travel-hairdryer-with-cool-shot,"Folding Handle Hair Dryer – Portable, Lightweight Travel Hairdryer with Cool Shot",1,Grooming/5-2.jpg,/shopify-product-images/folding-handle-hair-dryer-portable-lightweight-travel-hairdryer-with-cool-shot-01.jpg,https://pakfamilypro.com/shopify-product-images/folding-handle-hair-dryer-portable-lightweight-travel-hairdryer-with-cool-shot-01.jpg,mapped
hair-dryer-with-20000-rpm-motor-and-concentrator-nozzle,Hair Dryer with 20000 RPM Motor and Concentrator Nozzle,1,Grooming/2-11.jpg,/shopify-product-images/hair-dryer-with-20000-rpm-motor-and-concentrator-nozzle-01.jpg,https://pakfamilypro.com/shopify-product-images/hair-dryer-with-20000-rpm-motor-and-concentrator-nozzle-01.jpg,mapped
hair-dryer-with-diffuser-and-concentrator-fast-drying-salon-hair-dryer,Hair Dryer with Diffuser and Concentrator Fast Drying Salon Hair Dryer,1,Grooming/H597d9c973c16429fa5d5ca5141ea89141.jpg,/shopify-product-images/hair-dryer-with-diffuser-and-concentrator-fast-drying-salon-hair-dryer-01.jpg,https://pakfamilypro.com/shopify-product-images/hair-dryer-with-diffuser-and-concentrator-fast-drying-salon-hair-dryer-01.jpg,mapped
hair-dryer-with-diffuser-and-concentrator-fast-drying-salon-hair-dryer,Hair Dryer with Diffuser and Concentrator Fast Drying Salon Hair Dryer,2,Grooming/Hc2521215707c469599e687bcd3128e4fc.jpg,/shopify-product-images/hair-dryer-with-diffuser-and-concentrator-fast-drying-salon-hair-dryer-02.jpg,https://pakfamilypro.com/shopify-product-images/hair-dryer-with-diffuser-and-concentrator-fast-drying-salon-hair-dryer-02.jpg,mapped-extra-image
jamaky-1800w-hair-dryer-35000-rpm-dc-motor-cool-air-2-speeds,"JAMAKY 1800W Hair Dryer – 35000 RPM DC Motor, Cool Air, 2 Speeds",1,Grooming/H597d9c973c16429fa5d5ca5141ea89141.jpg,/shopify-product-images/jamaky-1800w-hair-dryer-35000-rpm-dc-motor-cool-air-2-speeds-01.jpg,https://pakfamilypro.com/shopify-product-images/jamaky-1800w-hair-dryer-35000-rpm-dc-motor-cool-air-2-speeds-01.jpg,mapped
jamaky-1800w-hair-dryer-35000-rpm-dc-motor-cool-air-2-speeds,"JAMAKY 1800W Hair Dryer – 35000 RPM DC Motor, Cool Air, 2 Speeds",2,Grooming/Hc2521215707c469599e687bcd3128e4fc.jpg,/shopify-product-images/jamaky-1800w-hair-dryer-35000-rpm-dc-motor-cool-air-2-speeds-02.jpg,https://pakfamilypro.com/shopify-product-images/jamaky-1800w-hair-dryer-35000-rpm-dc-motor-cool-air-2-speeds-02.jpg,mapped-extra-image
jamaky-3-in-1-men-s-grooming-kit-shaver-and-hair-trimmer-hot-sale,JAMAKY 3-in-1 Men’s Grooming Kit Shaver and Hair Trimmer – Hot Sale,1,Grooming/jamaky-jpc90040-3-in-1-grooming-kit-pakistan-priceoye-j1wx3-500x500.jpg,/shopify-product-images/jamaky-3-in-1-men-s-grooming-kit-shaver-and-hair-trimmer-hot-sale-01.jpg,https://pakfamilypro.com/shopify-product-images/jamaky-3-in-1-men-s-grooming-kit-shaver-and-hair-trimmer-hot-sale-01.jpg,mapped
jamaky-3-in-1-men-s-grooming-kit-shaver-and-hair-trimmer-hot-sale,JAMAKY 3-in-1 Men’s Grooming Kit Shaver and Hair Trimmer – Hot Sale,2,Grooming/5-1.jpg,/shopify-product-images/jamaky-3-in-1-men-s-grooming-kit-shaver-and-hair-trimmer-hot-sale-02.jpg,https://pakfamilypro.com/shopify-product-images/jamaky-3-in-1-men-s-grooming-kit-shaver-and-hair-trimmer-hot-sale-02.jpg,mapped-extra-image
jamaky-hot-sale-electric-hair-trimmer-use-charging-lithium-battery-shaving-machine,JAMAKY Hot Sale Electric Hair Trimmer Use Charging Lithium Battery Shaving Machine,1,Grooming/71ALgy_lmAL.jpg,/shopify-product-images/jamaky-hot-sale-electric-hair-trimmer-use-charging-lithium-battery-shaving-machine-01.jpg,https://pakfamilypro.com/shopify-product-images/jamaky-hot-sale-electric-hair-trimmer-use-charging-lithium-battery-shaving-machine-01.jpg,mapped
jamaky-jpc90021-hair-trimmer-7000-rpm-4-guide-combs-usb-charging-led-display,"JAMAKY JPC90021 Hair Trimmer – 7000 RPM, 4 Guide Combs, USB Charging, LED Display",1,Grooming/71gHrMhSfgL._AC_SL1500_.jpg,/shopify-product-images/jamaky-jpc90021-hair-trimmer-7000-rpm-4-guide-combs-usb-charging-led-display-01.jpg,https://pakfamilypro.com/shopify-product-images/jamaky-jpc90021-hair-trimmer-7000-rpm-4-guide-combs-usb-charging-led-display-01.jpg,mapped
jamaky-jpc90035-pro-series-hair-trimmer-6300-rpm-usb-charging-led-display,"JAMAKY JPC90035 Pro Series Hair Trimmer – 6300 RPM, USB Charging, LED Display",1,Grooming/3.png,/shopify-product-images/jamaky-jpc90035-pro-series-hair-trimmer-6300-rpm-usb-charging-led-display-01.png,https://pakfamilypro.com/shopify-product-images/jamaky-jpc90035-pro-series-hair-trimmer-6300-rpm-usb-charging-led-display-01.png,mapped
jamaky-jpc90054-pro-series-hair-trimmer-wireless-usb-charging,"JAMAKY JPC90054 Pro Series Hair Trimmer (Wireless, USB Charging)",1,Grooming/5-1.jpg,/shopify-product-images/jamaky-jpc90054-pro-series-hair-trimmer-wireless-usb-charging-01.jpg,https://pakfamilypro.com/shopify-product-images/jamaky-jpc90054-pro-series-hair-trimmer-wireless-usb-charging-01.jpg,mapped
three-head-rotary-electric-shaver-waterproof-and-usb-charging,"Three-Head Rotary Electric Shaver, Waterproof & USB Charging",1,Grooming/71uKTGFHNwL._AC_SL1500_.jpg,/shopify-product-images/three-head-rotary-electric-shaver-waterproof-and-usb-charging-01.jpg,https://pakfamilypro.com/shopify-product-images/three-head-rotary-electric-shaver-waterproof-and-usb-charging-01.jpg,mapped
3l-digital-rice-cooker-with-smart-led-display-and-multi-function-cooking,3L Digital Rice Cooker with Smart LED Display and Multi-Function Cooking,1,Home Appliances/1-26.jpg,/shopify-product-images/3l-digital-rice-cooker-with-smart-led-display-and-multi-function-cooking-01.jpg,https://pakfamilypro.com/shopify-product-images/3l-digital-rice-cooker-with-smart-led-display-and-multi-function-cooking-01.jpg,mapped
electric-meat-and-sausage-grinder-machine-stainless-steel-blades,"Electric Meat & Sausage Grinder Machine, Stainless Steel Blades",1,Home Appliances/71VWq+DyomL._AC_SX679_.jpg,/shopify-product-images/electric-meat-and-sausage-grinder-machine-stainless-steel-blades-01.jpg,https://pakfamilypro.com/shopify-product-images/electric-meat-and-sausage-grinder-machine-stainless-steel-blades-01.jpg,mapped
electric-meat-grinder-machine-with-stainless-steel-cutting-plates-and-powerful-motor,Electric Meat Grinder Machine with Stainless Steel Cutting Plates and Powerful Motor,1,Home Appliances/MG-S1.jpg,/shopify-product-images/electric-meat-grinder-machine-with-stainless-steel-cutting-plates-and-powerful-motor-01.jpg,https://pakfamilypro.com/shopify-product-images/electric-meat-grinder-machine-with-stainless-steel-cutting-plates-and-powerful-motor-01.jpg,mapped
electric-pressure-cooker-with-multifunction-cooking,Electric Pressure Cooker with Multifunction Cooking,1,Home Appliances/pressure-cooker-00-600x600-1.jpg,/shopify-product-images/electric-pressure-cooker-with-multifunction-cooking-01.jpg,https://pakfamilypro.com/shopify-product-images/electric-pressure-cooker-with-multifunction-cooking-01.jpg,mapped
electric-pressure-cooker-with-multifunction-cooking,Electric Pressure Cooker with Multifunction Cooking,2,Home Appliances/pressure-cooker-02-1536x1536-1.jpg,/shopify-product-images/electric-pressure-cooker-with-multifunction-cooking-02.jpg,https://pakfamilypro.com/shopify-product-images/electric-pressure-cooker-with-multifunction-cooking-02.jpg,mapped-extra-image
haley-2-in-1-blender-and-grinder-500w-hy-2937,HALEY 2-in-1 Blender & Grinder 500W (HY-2937),1,Home Appliances/5358000029671_1.jpg,/shopify-product-images/haley-2-in-1-blender-and-grinder-500w-hy-2937-01.jpg,https://pakfamilypro.com/shopify-product-images/haley-2-in-1-blender-and-grinder-500w-hy-2937-01.jpg,mapped
haley-2-in-1-blender-and-grinder-500w-hy-2937,HALEY 2-in-1 Blender & Grinder 500W (HY-2937),2,Home Appliances/H99a1eeb2621f4ed6b9819da221b838f6l.jpg,/shopify-product-images/haley-2-in-1-blender-and-grinder-500w-hy-2937-02.jpg,https://pakfamilypro.com/shopify-product-images/haley-2-in-1-blender-and-grinder-500w-hy-2937-02.jpg,mapped-extra-image
haley-digital-kitchen-scale-electronic-food-weighing-scale-with-lcd-display,Haley Digital Kitchen Scale Electronic Food Weighing Scale with LCD Display,1,Home Appliances/H85b7447638184a6c89712c1156adbf36J.jpg,/shopify-product-images/haley-digital-kitchen-scale-electronic-food-weighing-scale-with-lcd-display-01.jpg,https://pakfamilypro.com/shopify-product-images/haley-digital-kitchen-scale-electronic-food-weighing-scale-with-lcd-display-01.jpg,mapped
haley-hy-1925-2-in-1-upright-vacuum-cleaner-with-powerful-suction-for-home-cleaning,HALEY HY-1925 2-in-1 Upright Vacuum Cleaner with Powerful Suction for Home Cleaning,1,Home Cleaning/H72e2b8f5ab6f4c6fbf8aaa052442c770s.jpg,/shopify-product-images/haley-hy-1925-2-in-1-upright-vacuum-cleaner-with-powerful-suction-for-home-cleaning-01.jpg,https://pakfamilypro.com/shopify-product-images/haley-hy-1925-2-in-1-upright-vacuum-cleaner-with-powerful-suction-for-home-cleaning-01.jpg,mapped
